Fecha,num_atascos
2024-03-21 15:27:00,16
2024-03-21 15:57:00,19
2024-03-21 16:27:00,17
2024-03-21 16:57:00,22
2024-03-21 17:27:00,30
2024-03-21 17:57:00,27
2024-03-21 18:27:00,24
2024-03-21 18:57:00,10
2024-03-21 19:27:00,14
2024-03-21 19:57:00,5
2024-03-21 20:27:00,5
2024-03-21 20:57:00,4
2024-03-21 21:27:00,2
2024-03-21 21:57:00,1
2024-03-21 22:27:00,4
2024-03-21 22:57:00,1
2024-03-21 23:27:00,1
2024-03-21 23:57:00,2
2024-03-22 01:27:00,1
2024-03-22 05:27:00,1
2024-03-22 05:57:00,1
2024-03-22 06:57:00,7
2024-03-22 07:27:00,10
2024-03-22 07:57:00,14
2024-03-22 08:27:00,12
2024-03-22 08:57:00,6
2024-03-22 09:27:00,7
2024-03-22 09:58:00,11
2024-03-22 10:27:00,6
2024-03-22 10:57:00,10
2024-03-22 11:27:00,11
2024-03-22 11:57:00,13
2024-03-22 12:27:00,17
2024-03-22 12:57:00,13
2024-03-22 13:27:00,8
2024-03-22 13:57:00,15
2024-03-22 14:27:00,13
2024-03-22 14:57:00,18
2024-03-22 15:27:00,15
2024-03-22 15:57:00,13
2024-03-22 16:27:00,21
2024-03-22 16:57:00,17
2024-03-22 17:27:00,11
2024-03-22 17:57:00,24
2024-03-22 18:27:00,23
2024-03-22 18:57:00,16
2024-03-22 19:27:00,8
2024-03-22 19:57:00,19
2024-03-22 20:27:00,7
2024-03-22 20:57:00,4
2024-03-22 21:27:00,6
2024-03-22 21:57:00,7
2024-03-22 22:27:00,4
2024-03-22 22:57:00,4
2024-03-22 23:57:00,1
2024-03-23 02:57:00,2
2024-03-23 05:57:00,3
2024-03-23 06:57:00,1
2024-03-23 07:27:00,1
2024-03-23 08:27:00,4
2024-03-23 08:57:00,7
2024-03-23 09:27:00,7
2024-03-23 09:57:00,9
2024-03-23 10:27:00,9
2024-03-23 10:57:00,20
2024-03-23 11:27:00,19
2024-03-23 11:59:00,21
2024-03-23 12:27:00,18
2024-03-23 12:57:00,18
2024-03-23 13:27:00,8
2024-03-23 13:57:00,7
2024-03-23 14:27:00,12
2024-03-23 14:57:00,17
2024-03-23 15:27:00,12
2024-03-23 15:57:00,18
2024-03-23 16:27:00,14
2024-03-23 16:57:00,15
2024-03-23 17:27:00,14
2024-03-23 17:57:00,21
2024-03-23 18:27:00,16
2024-03-23 18:57:00,20
2024-03-23 19:27:00,10
2024-03-23 19:57:00,11
2024-03-23 20:27:00,7
2024-03-23 20:57:00,6
2024-03-23 21:27:00,8
2024-03-23 21:57:00,6
2024-03-23 22:27:00,6
2024-03-23 22:57:00,1
2024-03-23 23:27:00,3
2024-03-23 23:57:00,1
2024-03-24 03:57:00,2
2024-03-24 05:57:00,1
2024-03-24 07:27:00,1
2024-03-24 07:57:00,2
2024-03-24 08:27:00,2
2024-03-24 08:57:00,1
2024-03-24 09:27:00,4
2024-03-24 09:57:00,2
2024-03-24 10:27:00,3
2024-03-24 10:57:00,5
2024-03-24 11:27:00,3
2024-03-24 11:57:00,4
2024-03-24 12:27:00,5
2024-03-24 12:57:00,5
2024-03-24 13:27:00,8
2024-03-24 13:57:00,5
2024-03-24 14:27:00,3
2024-03-24 14:57:00,6
2024-03-24 15:27:00,10
2024-03-24 15:57:00,10
2024-03-24 16:27:00,9
2024-03-24 16:57:00,9
2024-03-24 17:27:00,12
2024-03-24 17:57:00,8
2024-03-24 18:27:00,10
2024-03-24 18:57:00,9
2024-03-24 19:27:00,10
2024-03-24 19:57:00,11
2024-03-24 20:27:00,9
2024-03-24 20:57:00,6
2024-03-24 21:27:00,5
2024-03-24 21:57:00,3
2024-03-24 23:27:00,2
2024-03-25 01:27:00,1
2024-03-25 02:27:00,1
2024-03-25 05:27:00,1
2024-03-25 06:27:00,2
2024-03-25 07:57:00,2
2024-03-25 08:27:00,1
2024-03-25 08:57:00,1
2024-03-25 09:27:00,5
2024-03-25 09:57:00,4
2024-03-25 10:27:00,4
2024-03-25 10:57:00,5
2024-03-25 11:27:00,8
2024-03-25 11:57:00,6
2024-03-25 12:27:00,6
2024-03-25 12:57:00,9
2024-03-25 13:27:00,6
2024-03-25 13:57:00,7
2024-03-25 14:27:00,5
2024-03-25 14:57:00,8
2024-03-25 15:27:00,7
2024-03-25 15:57:00,9
2024-03-25 16:27:00,8
2024-03-25 16:57:00,7
2024-03-25 17:27:00,6
2024-03-25 17:57:00,5
2024-03-25 18:27:00,14
2024-03-25 18:57:00,25
2024-03-25 19:27:00,11
2024-03-25 19:57:00,8
2024-03-25 20:27:00,6
2024-03-25 20:57:00,4
2024-03-25 21:27:00,1
2024-03-25 21:57:00,4
2024-03-25 22:27:00,1
2024-03-25 23:57:00,1
2024-03-26 00:27:00,1
2024-03-26 00:57:00,1
2024-03-26 01:27:00,1
2024-03-26 03:27:00,2
2024-03-26 04:57:00,2
2024-03-26 06:27:00,1
2024-03-26 07:27:00,1
2024-03-26 07:57:00,10
2024-03-26 08:27:00,7
2024-03-26 08:57:00,6
2024-03-26 09:27:00,9
2024-03-26 09:57:00,14
2024-03-26 10:27:00,10
2024-03-26 10:57:00,12
2024-03-26 11:27:00,23
2024-03-26 11:57:00,14
2024-03-26 12:27:00,13
2024-03-26 12:57:00,11
2024-03-26 13:27:00,9
2024-03-26 13:57:00,13
2024-03-26 14:27:00,15
2024-03-26 14:57:00,16
2024-03-26 15:27:00,11
2024-03-26 15:57:00,16
2024-03-26 16:27:00,14
2024-03-26 16:57:00,14
2024-03-26 17:27:00,25
2024-03-26 17:57:00,21
2024-03-26 18:27:00,21
2024-03-26 18:57:00,12
2024-03-26 19:27:00,10
2024-03-26 19:57:00,8
2024-03-26 20:27:00,5
2024-03-26 20:57:00,5
2024-03-26 21:27:00,5
2024-03-26 21:57:00,3
2024-03-26 22:27:00,2
2024-03-26 22:57:00,1
2024-03-26 23:27:00,1
2024-03-27 00:57:00,1
2024-03-27 01:57:00,2
2024-03-27 02:27:00,2
2024-03-27 03:27:00,2
2024-03-27 03:57:00,2
2024-03-27 04:57:00,1
2024-03-27 05:27:00,1
2024-03-27 05:57:00,3
2024-03-27 06:27:00,1
2024-03-27 06:57:00,4
2024-03-27 07:27:00,2
2024-03-27 07:57:00,7
2024-03-27 08:27:00,5
2024-03-27 08:57:00,6
2024-03-27 09:27:00,9
2024-03-27 09:57:00,12
2024-03-27 10:27:00,16
2024-03-27 10:57:00,16
2024-03-27 11:27:00,15
2024-03-27 11:57:00,10
2024-03-27 12:27:00,19
2024-03-27 12:57:00,15
2024-03-27 13:27:00,9
2024-03-27 13:57:00,15
2024-03-27 14:27:00,13
2024-03-27 14:57:00,19
2024-03-27 15:27:00,18
2024-03-27 15:57:00,26
2024-03-27 16:27:00,28
2024-03-27 16:57:00,23
2024-03-27 17:27:00,29
2024-03-27 17:57:00,40
2024-03-27 18:27:00,26
2024-03-27 18:57:00,24
2024-03-27 19:27:00,16
2024-03-27 19:57:00,11
2024-03-27 20:27:00,6
2024-03-27 20:57:00,5
2024-03-27 21:27:00,3
2024-03-27 21:57:00,3
2024-03-27 22:27:00,4
2024-03-27 22:57:00,2
2024-03-27 23:27:00,1
2024-03-27 23:57:00,1
2024-03-28 00:57:00,1
2024-03-28 06:27:00,2
2024-03-28 06:57:00,1
2024-03-28 07:27:00,1
2024-03-28 08:27:00,1
2024-03-28 09:27:00,4
2024-03-28 09:57:00,7
2024-03-28 10:27:00,6
2024-03-28 10:57:00,7
2024-03-28 11:27:00,4
2024-03-28 11:57:00,8
2024-03-28 12:27:00,7
2024-03-28 12:57:00,4
2024-03-28 13:27:00,8
2024-03-28 13:57:00,6
2024-03-28 14:27:00,4
2024-03-28 14:57:00,5
2024-03-28 15:27:00,4
2024-03-28 15:57:00,3
2024-03-28 16:27:00,10
2024-03-28 16:57:00,4
2024-03-28 17:27:00,8
2024-03-28 17:57:00,6
2024-03-28 18:27:00,13
2024-03-28 18:57:00,13
2024-03-28 19:27:00,8
2024-03-28 19:57:00,7
2024-03-28 20:27:00,10
2024-03-28 20:57:00,6
2024-03-28 21:27:00,5
2024-03-28 21:57:00,8
2024-03-28 22:27:00,5
2024-03-28 22:57:00,3
2024-03-28 23:27:00,1
2024-03-29 00:27:00,1
2024-03-29 02:57:00,1
2024-03-29 03:57:00,1
2024-03-29 04:57:00,1
2024-03-29 05:57:00,1
2024-03-29 06:57:00,1
2024-03-29 09:27:00,2
2024-03-29 09:57:00,3
2024-03-29 10:27:00,5
2024-03-29 10:57:00,2
2024-03-29 11:27:00,7
2024-03-29 11:57:00,2
2024-03-29 12:27:00,7
2024-03-29 12:57:00,5
2024-03-29 13:27:00,3
2024-03-29 13:57:00,3
2024-03-29 14:27:00,3
2024-03-29 14:57:00,6
2024-03-29 15:27:00,5
2024-03-29 15:57:00,9
2024-03-29 16:27:00,7
2024-03-29 16:57:00,8
2024-03-29 17:27:00,9
2024-03-29 17:57:00,8
2024-03-29 18:33:00,8
2024-03-29 19:57:00,10
2024-03-29 20:44:00,9
2024-03-29 20:57:00,6
2024-03-29 21:03:00,4
2024-03-29 21:27:00,2
2024-03-29 21:57:00,5
2024-03-29 22:27:00,3
2024-03-29 22:57:00,1
2024-03-29 23:27:00,1
2024-03-30 00:57:00,1
2024-03-30 01:57:00,1
2024-03-30 03:57:00,2
2024-03-30 05:27:00,1
2024-03-30 06:57:00,3
2024-03-30 07:27:00,1
2024-03-30 07:57:00,1
2024-03-30 08:27:00,1
2024-03-30 08:57:00,4
2024-03-30 09:27:00,4
2024-03-30 09:57:00,4
2024-03-30 10:27:00,10
2024-03-30 10:57:00,14
2024-03-30 11:27:00,20
2024-03-30 11:57:00,10
2024-03-30 12:27:00,8
2024-03-30 12:57:00,9
2024-03-30 13:27:00,12
2024-03-30 13:57:00,15
2024-03-30 14:27:00,18
2024-03-30 14:57:00,10
2024-03-30 15:27:00,11
2024-03-30 15:57:00,11
2024-03-30 16:27:00,10
2024-03-30 16:57:00,8
2024-03-30 17:27:00,11
2024-03-30 17:57:00,10
2024-03-30 18:27:00,13
2024-03-30 18:57:00,17
2024-03-30 19:27:00,15
2024-03-30 19:57:00,9
2024-03-30 20:27:00,10
2024-03-30 20:57:00,6
2024-03-30 21:27:00,7
2024-03-30 21:57:00,10
2024-03-30 22:27:00,5
2024-03-30 22:57:00,4
2024-03-30 23:57:00,1
2024-03-31 00:57:00,2
2024-03-31 05:27:00,1
2024-03-31 07:57:00,1
2024-03-31 08:57:00,3
2024-03-31 09:27:00,1
2024-03-31 09:57:00,1
2024-03-31 10:27:00,2
2024-03-31 10:57:00,1
2024-03-31 11:27:00,1
2024-03-31 11:57:00,7
2024-03-31 12:27:00,2
2024-03-31 12:57:00,4
2024-03-31 13:27:00,5
2024-03-31 13:57:00,1
2024-03-31 14:27:00,4
2024-03-31 14:57:00,3
